county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
honolulu,dhr,Human Resources,Operating,General Fund,General Fund,2027,3007564.0,Employment and Personnel Services,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,General Fund,General Fund,2027,1678297.0,Land Use Permits,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,General Fund,General Fund,2027,3326319.0,Planning,,data.honolulu.gov/puaw-t6sa
honolulu,csd,Customer Services,Operating,General Fund,General Fund,2027,20358107.0,Division of Motor Vehicles,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,38608230.0,Investigations,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Highway Fund,Special / Enterprise Funds,2027,3457666.0,Transportation Engineering,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,General Fund,General Fund,2027,750030.0,Office of Grants Management,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,General Fund,General Fund,2027,1357910.0,Budgetary Administration,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,General Fund,General Fund,2027,870074.0,Fiscal/CIP Administration,,data.honolulu.gov/puaw-t6sa
honolulu,hesd,Emergency Services,Operating,General Fund,General Fund,2027,11732925.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,med,Medical Examiner,Operating,General Fund,General Fund,2027,5986733.0,Investigation of Deaths,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Housing & Comm Dev Sec 8 Fund,Special / Enterprise Funds,2027,106130905.0,Community Assistance,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Community Development Fund,Federal Funds,2027,193332.0,Community Assistance,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Sewer Fund,Special / Enterprise Funds,2027,11678703.0,Wastewater Engineering and Construction,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,4153862.0,Training and Research,,data.honolulu.gov/puaw-t6sa
honolulu,dpr,Parks and Recreation,Operating,General Fund,General Fund,2027,10142507.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,General Fund,General Fund,2027,9435974.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,4663066.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,Sewer Fund,Special / Enterprise Funds,2027,311252.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,Highway Fund,Special / Enterprise Funds,2027,4696446.0,Site Development,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,Sewer Fund,Special / Enterprise Funds,2027,1505018.0,Site Development,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Federal Grants Fund,Federal Funds,2027,6714170.0,Elderly Affairs,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Special Projects Fund,Special / Enterprise Funds,2027,1638813.0,Community Based Development,,data.honolulu.gov/puaw-t6sa
honolulu,dit,Information Technology,Operating,General Fund,General Fund,2027,4084019.0,ERP-CSR,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Highway Fund,Special / Enterprise Funds,2027,2840573.0,Transportation Performance & Development,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,General Fund,General Fund,2027,5636109.0,Treasury,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,General Fund,General Fund,2027,7905331.0,Real Property,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,General Fund,General Fund,2027,3900528.0,Purchasing and General Services,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,Sewer Fund,Special / Enterprise Funds,2027,328746.0,Purchasing and General Services,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,General Fund,General Fund,2027,1321806.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,dpr,Parks and Recreation,Operating,Hanauma Bay Nature Preserve Fund,Special / Enterprise Funds,2027,1291109.0,Grounds Maintenance,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Sewer Fund,Special / Enterprise Funds,2027,36737566.0,Collection System Maintenance,,data.honolulu.gov/puaw-t6sa
honolulu,dpp,Planning and Permitting,Operating,General Fund,General Fund,2027,988885.0,Site Development,,data.honolulu.gov/puaw-t6sa
honolulu,hesd,Emergency Services,Operating,General Fund,General Fund,2027,1980178.0,Health Services,,data.honolulu.gov/puaw-t6sa
honolulu,csd,Customer Services,Operating,General Fund,General Fund,2027,6362117.0,Satellite City Hall,,data.honolulu.gov/puaw-t6sa
honolulu,md,Managing Director,Operating,General Fund,General Fund,2027,1107468.0,Culture and the Arts,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,General Fund,General Fund,2027,854593.0,Community Assistance,,data.honolulu.gov/puaw-t6sa
honolulu,dhr,Human Resources,Operating,General Fund,General Fund,2027,1169822.0,Classification and Pay,,data.honolulu.gov/puaw-t6sa
honolulu,dhr,Human Resources,Operating,General Fund,General Fund,2027,1589979.0,Industrial Safety and Workers' Compensation,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,General Fund,General Fund,2027,24598831.0,Community Based Development,,data.honolulu.gov/puaw-t6sa
honolulu,csd,Customer Services,Operating,Highway Beautification Fund,Special / Enterprise Funds,2027,3051293.0,Division of Motor Vehicles,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Federal Grants Fund,Federal Funds,2027,1656657.0,Community Based Development,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Grants in Aid Fund,Federal Funds,2027,10898940.0,Office of Grants Management,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,General Fund,General Fund,2027,680290.0,WorkHawaii,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,734945.0,Police Commission,,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Community Development Fund,Federal Funds,2027,1349644.0,WorkHawaii,,data.honolulu.gov/puaw-t6sa
honolulu,neighborhood-commission,Neighborhood Commission,Operating,General Fund,General Fund,2027,1691234.0,Neighborhood Commission,,data.honolulu.gov/puaw-t6sa
honolulu,dhr,Human Resources,Operating,General Fund,General Fund,2027,1746405.0,Labor Relations and Training,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Transportation Fund,Special / Enterprise Funds,2027,15663535.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,dit,Information Technology,Operating,General Fund,General Fund,2027,3337436.0,Applications,,data.honolulu.gov/puaw-t6sa
honolulu,md,Managing Director,Operating,General Fund,General Fund,2027,2600828.0,"Office of Climate Change, Sustainability and Resiliency",,data.honolulu.gov/puaw-t6sa
honolulu,dcs,Community Services,Operating,Community Development Fund,Federal Funds,2027,237452.0,Community Based Development,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,Sewer Fund,Special / Enterprise Funds,2027,326101.0,Accounting and Fiscal Services,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Bikeway Fund,Special / Enterprise Funds,2027,678335.0,Transportation Engineering,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,4515445.0,Fire Communication Center,,data.honolulu.gov/puaw-t6sa
honolulu,bfs,Budget and Fiscal Services,Operating,Grants in Aid Fund,Federal Funds,2027,103406.0,Accounting and Fiscal Services,,data.honolulu.gov/puaw-t6sa
honolulu,cor,Corporation Counsel,Operating,General Fund,General Fund,2027,14948185.0,Legal Services,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Transportation Fund,Special / Enterprise Funds,2027,108169640.0,Transportation Rail,,data.honolulu.gov/puaw-t6sa
